ID,Brand,Model,Fuel,Mileage,Year,Transmission,Price,Bodywork,CO2,Color,Euro Standard,Doors,HP,Description,Link
FB127261,Renault,Espace,Hybride,17283,2024,Automatic,42990,SUV,106.0,Grijs,Euro 6,5,131,"Deze Renault Espace 1.2 E-Tech HEV Esprit Alpine 5pl. 200 Ch is voor het eerst ingeschreven in 2024 

en heeft 17 283 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Espace",https://www.autosphere.be/nl/detail/renault-espace-1-2-e-tech-hev-esprit-alpine-5pl-200-ch-1930-zaventem-fb127261
FB127671,Honda,HR-V,Gas,49055,2018,Manual,15990,SUV,134.0,Zwart,Euro 6,5,131,"Deze Honda HR-V Executive is voor het eerst ingeschreven in 2018 

en heeft 49 055 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereHonda HR-V",https://www.autosphere.be/nl/detail/honda-hr-v-executive-1930-zaventem-fb127671
FB128163,Audi,A1,Gas,54204,2019,Automatic,18990,Coupé,137.0,Geel,Euro 6,5,116,"Deze Audi A1 Advanced is voor het eerst ingeschreven in 2019 

en heeft 54 204 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereAudi A1",https://www.autosphere.be/nl/detail/audi-a1-advanced-1930-zaventem-fb128163
FB128429,Renault,Trafic,Diesel,15701,2023,Automatic,29990,Other,189.0,Zwart,Euro 6,5,150,"Deze Renault Trafic VAN FG GCF L2H1 3T blue dci is voor het eerst ingeschreven in 2023 

en heeft 15 701 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Trafic",https://www.autosphere.be/nl/detail/renault-trafic-van-fg-gcf-l2h1-3t-blue-dci-1930-zaventem-fb128429
FB128499,Renault,Rafale,Hybride,16802,2024,Automatic,43990,SUV,113.0,Zwart,Euro 6,5,131,"Deze Renault Rafale 1.2 E-Tech HEV Esprit Alpine 200 Ch is voor het eerst ingeschreven in 2024 

en heeft 16 802 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Rafale",https://www.autosphere.be/nl/detail/renault-rafale-1-2-e-tech-hev-esprit-alpine-200-ch-1930-zaventem-fb128499
FB128806,Renault,Kadjar,Diesel,77582,2020,Automatic,16990,SUV,135.0,Grijs,Euro 6,5,116,"Deze Renault Kadjar Intens BOITE AUTOM. VERNELLINGSBAK is voor het eerst ingeschreven in 2020 

en heeft 77 582 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Kadjar",https://www.autosphere.be/nl/detail/renault-kadjar-intens-boite-autom-vernellingsbak-1930-zaventem-fb128806
FB118871,Renault,Clio,Hybride,22393,2023,Automatic,20490,City,97.0,Grijs,Euro 6,5,95,"Deze Renault Clio *Boite auto*GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2023 

en heeft 22 393 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*boite-auto*gps*carplay*camera*aps-av-ar*clim-auto-1030-bruxelles-fb118871
FB120674,Renault,Clio,Gas,12855,2023,Manual,17490,City,118.0,Oranje,Euro 6,5,91,"Deze Renault Clio *GPS*Carplay*CamĂ©ra*APS Ar*Clim auto is voor het eerst ingeschreven in 2023 

en heeft 12 855 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*gps*carplay*camera*aps-ar*clim-auto-1030-bruxelles-fb120674
FB120900,Renault,Clio,Gas,6740,2024,Manual,17390,City,118.0,Wit,Euro 6,5,91,"Deze Renault Clio *GPS*APS Ar*Clim auto*RĂ©gul*Bluetooth is voor het eerst ingeschreven in 2024 

en heeft 6 740 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*gps*aps-ar*clim-auto*regul*bluetooth-1030-bruxelles-fb120900
FB118869,Renault,Clio,Gas,30451,2023,Manual,16490,City,118.0,Oranje,Euro 6,5,91,"Deze Renault Clio *GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2023 

en heeft 30 451 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*gps*carplay*camera*aps-av-ar*clim-auto-1030-bruxelles-fb118869
